compound_id,compound_name_raw,compound_name_normalized,pubchem_cid,molecular_formula,molecular_weight,smiles,inchikey,iupac_name,xlogp,tpsa,dtxsid,dtxcid,logd55,logd74,ready_bio_deg,kegg_ids,kegg_names,kegg_pathways,chembl_ids
CMPD_BFBDE10BA197,Palmitin,palmitin,14900,C19H38O4,330.5,CCCCCCCCCCCCCCCC(=O)OCC(CO)O,QHZLMUACJMDIAE-UHFFFAOYSA-N,"2,3-dihydroxypropyl hexadecanoate",6.3,66.8,DTXSID00891470,DTXCID7022041,"5,65","5,88",1.0,,,,CHEMBL1078140
CMPD_BFCA20F6153F,"1,5-Hexadiene-3,4-diol","1,5 hexadiene 3,4 diol",14042,C6H10O2,114.14,C=CC(C(C=C)O)O,KUQWZSZYIQGTHT-UHFFFAOYSA-N,"hexa-1,5-diene-3,4-diol",0.2,40.5,DTXSID90871822,DTXCID90819446,"0,12","0,12",1.0,,,,
CMPD_BFCE14796141,n-hexacosane,n hexacosane,12407,C26H54,366.7,CCCCCCCCCCCCCCCCCCCCCCCCCC,HMSWAIKSFDFLKN-UHFFFAOYSA-N,hexacosane,13.7,0,DTXSID7060883,DTXCID3043601,"8,22","8,22",1.0,,,,
CMPD_BFE5003CF318,Cis-asarone,cis asarone,5281758,C12H16O3,208.25,C/C=C\C1=CC(=C(C=C1OC)OC)OC,RKFAZBXYICVSKP-WAYWQWQTSA-N,"1,2,4-trimethoxy-5-[(Z)-prop-1-enyl]benzene",3,27.7,DTXSID601020057,DTXCID00911420,"2,37","2,37",0.0,,,,CHEMBL477752
CMPD_BFFD01B9C143,"Stigmasta-4,22-dien-3-one","stigmasta 4,22 dien 3 one",6442194,C29H46O,410.7,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)C(C)C,MKGZDUKUQPPHFM-LPJPOILFSA-N,"(8S,9S,10R,13R,14S,17R)-17-[(E,2R,5S)-5-ethyl-6-methylhept-3-en-2-yl]-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one",8.5,17.1,,,,,,,,,CHEMBL3138641
CMPD_C00AA8A896DD,o-acetanisole,o acetanisole,68481,C9H10O2,150.17,CC(=O)C1=CC=CC=C1OC,DWPLEOPKBWNPQV-UHFFFAOYSA-N,1-(2-methoxyphenyl)ethanone,1.8,26.3,DTXSID8060375,DTXCID1042281,"1,82","1,82",1.0,,,,
CMPD_C022A6ACCEF9,youssoufenes B1,youssoufenes b1,131752180,C29H46O2,426.7,CC(C/C=C/C(=O)C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)O)C)C,WNTCMDLOMSFFPE-VQHVLOKHSA-N,"(E)-6-(6-hydroxy-7,7,12,16-tetramethyl-15-pentacyclo[9.7.0.01,3.03,8.012,16]octadecanyl)hept-3-en-2-one",7.7,37.3,,,,,,,,,
CMPD_C02822AF2C5D,luteolin 7-O-rutinoside,luteolin 7 o rutinoside,10461109,C27H30O15,594.5,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O)O,MGYBYJXAXUBTQF-FOBVWLSUSA-N,"2-(3,4-dihydroxyphenyl)-5-hydroxy-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one",-1.1,245,DTXSID201313731,DTXCID201743542,"-2,86","-1,01",0.0,,,,CHEMBL1714943
CMPD_C04779DD8071,?-terpenyl acetate,? terpenyl acetate,111037,C12H20O2,196.29,CC1=CCC(CC1)C(C)(C)OC(=O)C,IGODOXYLBBXFDW-UHFFFAOYSA-N,2-(4-methylcyclohex-3-en-1-yl)propan-2-yl acetate,2.4,26.3,DTXSID2026496,DTXCID506496,"3,96","3,96",1.0,,,,
CMPD_C04779DD8071,?-terpenyl acetate,? terpenyl acetate,111037,C12H20O2,196.29,CC1=CCC(CC1)C(C)(C)OC(=O)C,IGODOXYLBBXFDW-UHFFFAOYSA-N,2-(4-methylcyclohex-3-en-1-yl)propan-2-yl acetate,2.4,26.3,DTXSID2029612,DTXCID209612,"4,51","4,51",1.0,,,,
