compound_id,file_name,file_path,file_type,match_method,match_score,source
CMPD_D61D75EC2B9D,11036325.sdf,/structures/11036325.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_4DFD3236E3D4,11036326.sdf,/structures/11036326.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_B176AADFAEB9,110368.sdf,/structures/110368.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_62A9D84009AB,11036814.sdf,/structures/11036814.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_DF6FF46835F5,11037286.sdf,/structures/11037286.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_B4E799F31498,11053424.sdf,/structures/11053424.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_9FB10C3317D4,11059434.sdf,/structures/11059434.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_EE782BCBFD0F,11079623.sdf,/structures/11079623.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_C04779DD8071,11103.sdf,/structures/11103.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_C04779DD8071,111037.sdf,/structures/111037.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_EFC6AE6D33AF,11116238.sdf,/structures/11116238.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_8E8934696791,11116248.sdf,/structures/11116248.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_7FE6FF2724B8,11180479.sdf,/structures/11180479.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_9D109AEA01D1,11186716.sdf,/structures/11186716.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_3AE6BE160088,11261358.sdf,/structures/11261358.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_5672262277D7,11267104.sdf,/structures/11267104.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_A1B101EDC289,11349.sdf,/structures/11349.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_9B144AEB786F,11384730.sdf,/structures/11384730.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_672B88CD8DDF,11394145.sdf,/structures/11394145.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_2728064E9169,11462002.sdf,/structures/11462002.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_514979F6D991,11470409.sdf,/structures/11470409.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_FC8648281710,11502.sdf,/structures/11502.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_095F2E06B995,11526834.sdf,/structures/11526834.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_3A892CE2F7AC,115312.sdf,/structures/115312.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_34BEDEE83C90,115321.sdf,/structures/115321.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_573C49BB0438,115359.sdf,/structures/115359.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_C60DB14AD24C,11603504.sdf,/structures/11603504.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_2A844DBC068E,11655911.sdf,/structures/11655911.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_9077BB66428B,11701599.sdf,/structures/11701599.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_9DD6764B0442,11818167.sdf,/structures/11818167.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_9DD37F891A89,119035.sdf,/structures/119035.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_97E188F3B1F1,119041.sdf,/structures/119041.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_6F08FE3538D5,119046.sdf,/structures/119046.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_C0782896E20E,119201.sdf,/structures/119201.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_9BE25EA0C92E,119253.sdf,/structures/119253.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_8B167796D0F7,11_12-seco-12_13-didehydromultiflorine.sdf,/structures/11_12-seco-12_13-didehydromultiflorine.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_A13BCA7D75C7,11_14_17-eicosatrienoic_acid_methyl_ester.sdf,/structures/11_14_17-eicosatrienoic_acid_methyl_ester.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_4719B898F795,11beta_13-Dihydrolactucin.sdf,/structures/11beta_13-Dihydrolactucin.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_2A440EF685E2,11beta_15beta-dihydroxy-ent-kaur-16-en-19-oic_acid.sdf,/structures/11beta_15beta-dihydroxy-ent-kaur-16-en-19-oic_acid.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_18A9C64E05F9,12-beta-Hydroxyscillirosidin.sdf,/structures/12-beta-Hydroxyscillirosidin.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_98E4E2DD656C,12-Deoxyphorbol_13-decadienoate.sdf,/structures/12-Deoxyphorbol_13-decadienoate.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_8F13FF9C711D,12-tridecanolide.sdf,/structures/12-tridecanolide.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_14F2EC66292F,12020.sdf,/structures/12020.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_B83EDA889CD3,12046149.sdf,/structures/12046149.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_8F970CD9D222,12084879.sdf,/structures/12084879.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_E6E9FD54C741,12134555.sdf,/structures/12134555.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_9CF8E1276F63,12204780.sdf,/structures/12204780.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_625658A42131,12217608.sdf,/structures/12217608.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_7A353A653358,12235227.sdf,/structures/12235227.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_151AB7175820,122754.sdf,/structures/122754.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_B603155BC7F4,12303577.sdf,/structures/12303577.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_7DDB64E5F0FA,12303662.sdf,/structures/12303662.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_32C0C9A96389,12304196.sdf,/structures/12304196.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_BAB7349CC949,12306047.sdf,/structures/12306047.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_F69818077162,12309057.sdf,/structures/12309057.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_1AE67C511738,12314541.sdf,/structures/12314541.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_67E7BBFE48C8,124375.sdf,/structures/124375.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_A6B67C51B8B5,124434.sdf,/structures/124434.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_00763E24CFF9,125203.sdf,/structures/125203.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_9855BC407BA3,12521284.sdf,/structures/12521284.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_986044D515A8,12681561.sdf,/structures/12681561.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_CA0E19A9F012,127406.sdf,/structures/127406.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_8AB4B3C5379A,12741.sdf,/structures/12741.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_23889C793D16,12866383.sdf,/structures/12866383.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_9835FDA0461B,129532628.sdf,/structures/129532628.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_1A6C0480D056,129539666.sdf,/structures/129539666.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_1C2E2ECD1714,129627725.sdf,/structures/129627725.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_F62F03407A7D,129834621.sdf,/structures/129834621.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_AD9987D179DC,129845343.sdf,/structures/129845343.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_9E35271BA307,12_13-dihome.sdf,/structures/12_13-dihome.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_F7FEB6C7799F,12a-Dehydrodeguelin.sdf,/structures/12a-Dehydrodeguelin.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_C9068BCDFC24,12alpha-Hydroxylupanine.sdf,/structures/12alpha-Hydroxylupanine.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_BB314E799AB6,13-Dihydro-4-epi-sonchucarpolide.sdf,/structures/13-Dihydro-4-epi-sonchucarpolide.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_2A0B1CE76C9D,13-epi-manoyl_oxide.sdf,/structures/13-epi-manoyl_oxide.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_2A0B1CE76C9D,13-epimanoyl_oxide.sdf,/structures/13-epimanoyl_oxide.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_D4E4F2B63E15,13-methyltetradecanoic_acid.sdf,/structures/13-methyltetradecanoic_acid.sdf,sdf,exact_normalized_name,1.0,local_sdf_library
CMPD_1985B18E7BBF,13092557.sdf,/structures/13092557.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_4AC42FF0DAE0,131751234.sdf,/structures/131751234.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_82CB5657B4E1,131752508.sdf,/structures/131752508.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_36F92EAEF118,132489952.sdf,/structures/132489952.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_18F100A48A59,132489956.sdf,/structures/132489956.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_317A2B504F62,132489957.sdf,/structures/132489957.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
CMPD_A741B5BD24A5,13254473.sdf,/structures/13254473.sdf,sdf,pubchem_cid_filename,1.0,local_sdf_library
